昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
-花间肖酒人间羡-,1,1,女,重庆,4828,292,6201,1
梦想成真的汤圆,0,1,女,上海,6556,299,54,1
唯清九九99,0,1,女,重庆,1197,86,625,1
如兰竹 女/广东         ,0,0,自,最实,102,22,26,1
我是顾魏的老婆 女/浙江         ,0,0,魏,婆,1416,469,218,1
带电体情报员,1,1,女,北京,13289,388,443998,1
每天都有钱花,1,1,女,其他,19576,619,900,4
中指商办云,1,0,男,北京,6178,140,969,1
中指物业研究,1,0,男,北京,2053,126,10555,1
中指研究院,1,1,女,北京,16076,208,34268,1
董董-南宫凤,0,1,女,海外,287,148,114,1
生态衡水,1,1,女,河北,14241,184,1706,1
黄骅司法,1,1,男,河北,33237,1031,236021,3
央广网,1,1,男,北京,79593,458,4745146,1
人民日报海外版-海外网,1,1,男,北京,86779,266,4525185,1
南海网,1,0,男,海南,66787,80,3974970,2
默默爱吃糖心蛋,1,1,女,江苏,7280,925,610,4
青林竹九,0,1,女,广东,3673,193,81,1
笑羊羊狼WM 女/四川         ,0,0,越, 星,461,319,25,1
美人勾践 女/河南         ,0,0,人,所以,226,98,54,2
Minoz安琪,1,1,女,吉林,7545,917,1214,1
是我的终会归来,0,1,女,天津,1890,303,116,2
一瞬间video,1,1,男,其他,5933,17,633040,1
十堰长安,1,1,男,湖北,13294,387,7030,1
产城瞭望,1,0,男,北京,10121,250,2714,1
中指土地情报,1,0,女,北京,13810,429,38131,1
小li考试全都过,0,1,女,河北,902,189,279,5
一水山间,1,1,男,其他,15638,944,2789,1
鄂尔多斯新闻网,1,1,女,内蒙,53962,440,94118,1
每日经济新闻,1,1,男,上海,245540,716,47076199,1
中国网财经,1,1,女,北京,21362,121,2016905,1
陕西都市热线,1,1,男,陕西,83029,993,1121549,1
陕西都市快报,1,1,男,陕西,182879,705,2840018,12
徽州反邪教,1,0,男,安徽,97489,1016,4040,3
黑龙江晨报,1,1,男,黑龙,64101,1875,6757113,5
小寶斑比,1,1,女,海外,5546,1692,21101,1
黔中平坝,1,1,男,贵州,127756,5549,40487,1
西北信息报,1,0,女,陕西,37045,528,8005,4
邢台广播电视台,1,0,男,河北,3241,69,1527,1
石家庄公安网络发言人,1,1,男,河北,17634,1967,2859672,1
营口日报,1,0,男,辽宁,56859,136,243263,1
梦云澜,1,1,女,辽宁,3223,667,10972,1
宁波机场阳光服务,1,0,女,浙江,30071,496,113746,2
鄠邑检察,1,0,男,陕西,22890,463,2087,2
新京报我们视频,1,1,男,北京,73979,962,13372202,1
中国网,1,0,男,北京,89589,459,4907257,1
XxA倾心,1,1,男,其他,2515,891,14742,1
石家庄的日子,1,1,男,河北,1260,559,318925,1
微博政务,1,1,女,北京,33504,3701,1998620,3
贵阳日报官方微博,1,0,女,贵州,37874,428,362760,1
贵阳网,1,0,女,贵州,46296,285,105447,1
成都交通文艺广播,1,0,女,四川,36013,306,102149,1
紧急呼叫,1,1,男,北京,10724,185,2054060,1
湖南交通频道官方微博,1,1,男,湖南,95256,1291,1047109,3
各界导报社官微,1,0,男,陕西,79736,118,100230,2
蜜桃味的甜七,0,1,女,北京,196,50,126,1
AbrtmsyVsdyV 女/其他         ,0,0,,,452,105,148,2
荣戈博报,1,1,男,北京,68242,19941,321253,1
津云,1,1,男,天津,142148,388,1470765,3
陇南文县司法,1,0,女,甘肃,5874,1045,1875,1
榨克儿 男/天津         ,0,0,嘟,的成,1971,253,257,1
王三岁的小邴啊 女/河北         ,0,0,捉,一只,150,278,125,1
西安检察,1,1,女,陕西,38159,732,40474,1
首都专家微博群,1,0,男,北京,30776,355,800853,1
微昭通,1,0,男,云南,12151,798,207182,2
你在吃啥我也吃,0,1,男,河北,196,440,367,1
植物人史军,1,1,男,北京,36739,2745,5151082,3
盘锦市委网信办,1,1,女,其他,4527,141,16785,1
半月谈,1,1,男,北京,67840,1427,12019648,1
普安检察,1,1,男,贵州,8614,666,2447,2
石家庄里事 男/河北         ,0,0,个,伙很,2849,223,446,1
河南青年时报,1,0,男,河南,1423,269,3103,1
河北共青团,1,1,男,河北,66133,1865,821978,1
深圳新闻网,1,1,男,广东,43990,729,1198351,1
中国黔南,1,1,男,贵州,10832,189,64735,1
