昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
科学大观园杂志社,1,0,男,北京,12790,45,2259,1
行车探秘TV,1,1,女,其他,4194,44,11452,1
南宁晚报,1,1,男,广西,90366,896,550760,1
老郭茶馆,0,1,男,北京,17557,1416,1734,1
廊坊本地通,1,1,男,河北,14002,188,171735,2
新闻眼睛,1,1,女,北京,19217,7,23121,1
衡水资讯,1,1,男,河北,5809,896,58841,1
头条博客,1,1,男,北京,76940,1635,10489168,4
新浪新闻客户端,1,1,男,北京,72997,413,35698626,1
明日头条,1,1,男,北京,43374,153,1218259,2
小浪同学爱吐槽,1,1,女,北京,52710,205,2859753,1
三秦都市报,1,0,男,陕西,71668,769,1070619,1
阳光报,1,1,男,陕西,23110,588,85843,5
中国社会报,1,1,男,北京,5621,53,362927,1
郑州日报,1,0,男,河南,57768,459,1518592,1
宿城之声,1,0,男,江苏,14054,710,33586,1
河北检察,1,1,男,河北,35198,616,160848,1
海南交通广播,1,1,男,海南,31560,204,525736,1
浅末风尘,1,1,男,河北,15809,148,13032,1
沈阳晚报,1,1,女,辽宁,185749,343,4812076,1
清苑融媒,1,0,女,河北,1125,290,480,2
CETV新闻,1,1,男,北京,11997,153,1184361,1
江海晚报,1,0,女,江苏,18430,337,311416,1
四川省人民检察院,1,1,男,四川,25235,837,104692,2
昆明日报官微,1,0,男,云南,5924,190,1948,1
江陵政务,1,0,男,湖北,9218,88,3663,3
峨眉微博,1,1,男,四川,22127,2264,100258,1
FM1058保定飞扬调频,1,0,女,河北,6348,368,22451,1
昆明防震,1,0,男,云南,15418,351,48672,2
江南都市报,1,1,男,江西,78008,939,11290893,1
绵阳晚报社,1,0,男,四川,32579,2459,161562,2
云南理论网,1,1,男,云南,8971,385,40752,2
唐山刑警CID,1,1,男,河北,2221,423,14815,1
南通发布,1,0,男,江苏,28152,357,746358,1
莆田晚报社,1,0,男,福建,4586,366,2346,1
福建新闻广播fm1036,1,0,女,福建,53852,475,408741,3
瞭望新时代,1,0,女,其他,674,37,1190,1
绵阳发布,1,0,男,四川,9000,69,11769,1
新沂人民调解员--讲好政法新故事,0,1,男,江苏,26235,6047,48256,1
河北省地震局,1,1,女,河北,22031,543,1171449,1
生态梦人,1,1,男,山东,33057,9306,2685358,1
一点橙子,1,1,女,四川,5168,345,106267,2
巩义融媒,1,0,女,河南,2451,116,645,1
930老友记,1,0,男,广西,134834,461,804141,2
滨海时报,1,1,男,天津,64091,721,554743,4
微博清苑,1,0,男,河北,8527,116,3143,1
无锡博报,1,1,男,江苏,77501,1467,302065,2
连云港市广播电视台-港城365,1,0,男,江苏,30537,1835,348941,1
太原微博房产,1,1,男,山西,24617,455,611198,1
007秦皇岛新鲜事儿 男/北京         ,0,0,天,布，,268,72,45,1
六盘水日报,1,1,男,贵州,24020,244,119206,1
微博沧州,1,1,男,河北,10529,366,284737,2
安徽之声,1,1,男,安徽,30222,510,114258,1
乐享廊坊,1,1,男,河北,40251,3292,220136,2
南丰发布,1,1,男,江西,67983,163,4100,1
阳泉网络广播电视台,1,0,男,山西,38300,311,121055,1
中国之声,1,1,男,北京,130885,1331,27598685,1
网信赵州,1,0,男,河北,1730,84,97,1
浙江城市之声,1,1,男,浙江,66081,333,2007276,1
CCTV4,1,1,男,北京,70339,340,4591295,1
中国商报,1,1,男,北京,27163,156,466789,1
沧州微播报,1,1,女,河北,46689,1469,229207,2
河北卫视,1,0,男,河北,2381,778,574353,1
西安晚报,1,1,男,陕西,130984,574,6532971,2
中国交通广播,1,1,女,北京,77872,626,5962118,3
宁夏反邪教,1,0,男,宁夏,35760,414,21350,1
海口网,1,0,男,海南,102130,449,646793,3
中国周刊,1,1,男,北京,31689,1449,3621763,1
灵璧清风,1,0,男,安徽,2524,121,541,1
四川法治报,1,0,男,四川,13516,445,110930,2
沧州晚报,1,0,男,河北,72730,1667,911084,2
沧州日报,1,0,男,河北,20094,1079,54124,2
央视财经,1,1,男,北京,96020,587,36548920,1
河北经视,1,0,男,河北,3805,289,1888258,1
鬼狼王-月下醉吟,1,0,男,河北,6813,193,212,2
FM99香格里拉之声,1,0,男,云南,29013,961,81781,1
随手寻亲,1,1,女,山东,17033,626,1455,1
云上深夜快递,1,1,女,四川,19145,144,104134,1
西安电视台官方微博,1,1,男,陕西,106008,2072,514486,1
央视网,1,1,男,北京,114696,513,12398108,2
潇湘晨报,1,1,女,湖南,104158,1299,14858269,2
今晚报,1,1,男,天津,134472,2888,11358046,4
封面新闻,1,1,女,四川,158616,8329,22744298,1
天津时间time,1,1,男,天津,5755,333,20836,1
郑州晚报,1,1,男,河南,131545,896,5067710,1
湖北日报,1,1,男,湖北,100239,403,4148019,1
浙江日报,1,1,男,浙江,99337,526,2472668,1
爱看头条,1,1,男,四川,96043,1853,1880343,1
21世纪经济报道,1,1,男,广东,98469,800,21110899,1
三月的奇蹟 女/其他         ,0,0,言,語的,17925,294,88,1
是奶闹呀,1,1,女,海南,9482,458,309,1
可乐-雪碧和橙汁,0,1,女,浙江,1754,272,128,1
条子蛮正滴你 女/湖北         ,0,0,了,2,11377,168,34,3
请你喝听贝利尼,0,1,女,浙江,9118,210,746,1
THEO-朱正正的隐婚老婆,1,1,女,广东,15414,159,319,1
惢惢惢Zzzz,1,1,女,广西,2569,242,395,1
为正廷心动 女/其他         ,0,0,平,奇数,1047,130,30,1
不苦亭,0,1,女,安徽,3416,232,24,1
芒果娱乐,1,1,女,北京,56962,750,6217392,2
恍然若梦7777,1,1,女,山东,7760,277,214,1
努力过好每一天可以吗,0,1,女,福建,3265,1062,1236,1
hwj梦茹琳love 女/浙江         ,0,0,去,经历,143,81,4,1
一穷二白也要赢的就是我啊 女/辽宁         ,0,0,穷,白,1223,885,548,1
追剧少女陈芊芊,1,1,女,其他,6673,163,2012755,1
车厘子请随便吃,0,1,男,西藏,2212,1048,386,1
冰糖炖雪梨可以有,0,1,女,陕西,1367,893,595,1
X小雫雫,1,1,女,广东,1522,206,302,2
秦霄贤,1,1,男,北京,191,168,7260963,1
ddl豆豆龙,0,1,男,湖北,23818,66,247,1
香菜三分熟,1,1,女,其他,1876,198,106,1
DEAR专员 女/宁夏         ,0,0,e,au,2430,599,375,1
湖南第一仙女,0,1,女,湖南,811,485,516,1
电影大指南,1,1,男,北京,5080,124,4311953,2
耳机没了秀,0,1,女,广东,3154,585,118,1
专业级音乐发烧友,1,0,男,重庆,7780,864,893,1
商丘那点事,1,1,男,河南,36370,1195,511261,1
看万茜的小尾巴 女/北京         ,0,0,是,气锦,2795,998,196,1
新浪电视,1,1,女,北京,44997,1821,13710194,1
一切皆如过往云烟 女/浙江         ,0,0,想,裳花,483,149,22,1
要幸福哦yu,0,1,女,其他,14340,810,1361,1
婳忱禹,1,1,女,湖北,3240,829,66,1
不说话的布与yu,1,1,女,其他,5145,982,309,1
HBDHCY-Marilyn,1,1,女,其他,14916,477,2558,1
孤独的小丑yu,1,1,女,广东,18064,161,684,1
Sandra0511 女/浙江         ,0,0,幕,垂虫,991,137,135,1
湖南卫视贴吧,1,1,女,湖南,58777,360,2591207,1
独自快乐未来可期,0,1,女,其他,2846,686,589,1
无时无刻在在想,0,1,女,重庆,4505,663,190,1
ememen,0,1,女,浙江,2257,173,148,1
片羽时光呀,1,1,女,江苏,1139,97,90,1
藤井树的树leslie 女/陕西         ,0,0,在,多孤,1885,90,111,1
六腿是也 女/重庆         ,0,0,六,，我,1999,85,151,1
虎妞消失的美,0,1,女,浙江,914,195,34,1
Lucky兔toy,0,1,女,河南,5249,416,1066,1
·小肥羊子阿·,1,1,女,其他,4531,615,576,1
安家小妮--,0,1,女,北京,446,248,343,2
CCTV电视剧,1,1,女,北京,20530,56,10365787,1
村口花妹 女/上海         ,0,0,在,就在,727,89,1037,2
小鹿仙和小兔仙,0,1,男,上海,50368,1334,647,1
朱正廷的心上人-,1,1,女,湖北,7332,295,17647,1
无忧哥哥搞事业,0,1,女,河南,2700,701,103,1
致命伤_sonia_clos,0,1,女,江西,493,112,22,1
每天量体温的汪,1,1,女,四川,2099,323,10201,4
我太想吃饭了 女/北京         ,0,0,憨,已🕶,794,135,185,1
细幺幺,1,1,女,北京,9258,360,12070,5
耳畔的星星 男/山东         ,0,0,,,978,142,211,1
再见什刹海 男/江苏         ,0,0,有,陪你,438,151,15,1
哈尔滨的季节 男/山东         ,0,0,大,来也,43,143,59,1
热剧八卦炉,1,1,男,北京,8107,686,2131636,1
潘阿怡的钿,0,1,男,山东,174,93,46,1
·滑滑滑滑梯·,1,1,女,湖北,9205,470,4384,1
星乔是魔王宝贝,1,1,女,湖北,6939,211,235,1
08届42班,0,1,女,海外,89754,2675,913,1
HUA木刃yu,0,1,女,海外,2855,370,138,1
诗织玲奈yu,1,1,女,湖南,5219,558,298,1
T灬失笑,0,1,女,河南,34,270,27,1
荌宠,0,1,女,其他,782,124,6,1
傻丫头一个琥珀,1,1,女,云南,6506,807,812,1
肖肖属于我,1,1,女,河南,5345,541,536,1
蜜汁可乐炸椒,1,1,男,海外,21485,588,201285,2
那拉444444 男/陕西         ,0,0,不,起个,357,61,70,1
鹿贝lb,0,1,男,陕西,2196,205,65,1
歡愉8,0,1,女,黑龙,1138,32,153,1
天青牛蟒,1,1,男,上海,2229,420,48291,1
十月mmz,1,1,女,山东,2090,341,1308,1
l素时锦年l 男/北京         ,0,0,人,定要,21,84,64,1
又被不开心追上了,1,1,女,海外,10380,1110,157,1
-小猪头太甜啦-,1,1,女,天津,11896,578,3672,1
糖小仙的翅膀,0,1,女,四川,14816,724,220,1
轶夫当观,1,1,男,辽宁,90649,934,1032134,3
人间四月花0318,0,1,女,广东,18102,393,550,1
Zzt柠檬片,0,1,女,浙江,3675,355,40,1
THEO-zzt酥糖,1,1,女,广东,8393,950,587,1
羽族第一铁匠忧子哥,0,1,女,广东,1865,301,2055,1
德云女孩丽哥,1,1,女,其他,273,51,2974,1
_Money_Leung,1,1,女,广东,33064,1143,1771,1
燚淇,1,1,女,其他,5286,2251,535,1
都敏俊先生 女/湖南         ,0,0,卦,我的,1637,425,125,1
忍把小乔轻负 女/湖南         ,0,0,得,身书,542,137,49,1
想养只小狼狗 女/河南         ,0,0,爱,人皆,4683,657,103,1
橘洲一珂,0,1,女,福建,1461,181,68,1
二月小yu,0,1,女,其他,4379,301,109,1
疯批们一起来捉迷藏鸦,1,1,女,浙江,3396,397,188,1
summerarisha,0,1,女,广东,49905,287,332,2
一枚美煤,0,1,女,福建,192,324,58,1
顶着花花的柯基yu,1,1,女,天津,8411,450,1302,1
宇宇宇宇宇hua,1,1,女,其他,2568,112,87,1
聪明小火,1,1,男,山东,9539,278,184,1
遵义事儿君,1,1,男,贵州,13024,383,220159,1
剧探王,1,1,男,北京,9038,502,4808247,1
Xz5hsy,1,1,男,四川,6609,437,355,1
Forever-葡萄,0,1,女,四川,1415,361,58,1
吃瓜影视组,1,1,女,北京,14861,558,2141618,1
海绵宝宝z_,1,1,女,其他,4889,504,1088,1
HERO静要加油,0,1,女,广东,2891,440,811,1
心简单生活简单,0,1,女,陕西,7309,874,295,1
群玉月相逢,0,1,女,新疆,12420,125,550,1
是老肖的发际线呀,1,1,女,山东,3705,207,373,2
阿飞1991,0,1,女,其他,3351,651,323,1
我爱那个头上戴花的少年,0,1,女,其他,7392,578,75,1
月与夜MN,1,1,女,江苏,2752,666,252,1
他是清风月_,1,1,女,上海,10551,581,112533,2
猪猪牌蜜桃酱,1,1,女,安徽,67611,653,590,1
恋帘,1,1,女,湖南,2757,566,284,1
4004莜末 女/江苏         ,0,0,儿,黄昏,2805,90,205,1
shmily梓嫣67,1,1,女,山西,3744,1407,540,1
冷兮冰冰,0,1,女,重庆,1258,447,9,1
So原来是你啊,0,1,男,北京,1402,1821,201,1
请林有有饮茶,0,1,女,湖北,802,37,18,1
天上掉下个神奇的猪八戒 女/澳门         ,0,0,来,属于,697,293,44,1
神厨楠楠,0,1,男,北京,395,209,1323,1
fforever寻yu,1,1,女,四川,6211,204,160,1
火星村的喵儿,1,1,女,上海,8983,397,1302,1
et身份高贵,0,1,女,北京,11462,248,167,1
歪乃火星第一疯,1,1,女,广东,4970,441,843,4
放空实属无奈,0,1,女,海南,13696,57,53,1
新世界的Ariel,1,1,女,海外,5754,227,146,1
顾熠野,0,1,女,其他,4735,806,667,1
skr你没,0,1,男,重庆,12456,455,34,1
置若罔闻p 女/其他         ,0,0,天,是天,274,132,64,1
申申dac,0,1,女,重庆,5850,246,34,1
茜茜包,0,1,女,江西,3324,551,40,1
老顾家的女人,1,1,女,山东,5981,1221,595,1
青春的疼痛后续,0,1,女,江苏,5355,513,131,1
#NAME?,0,1,女,其他,11785,475,1111,1
鲨鸡儆猴,1,1,女,浙江,38518,849,212,1
理工科小姐姐,0,1,女,北京,6248,154,791,1
emily函1985,0,1,女,广东,13366,1423,253,1
wzlte,1,1,女,海外,19924,73,161,1
mars-糖,1,1,女,上海,15100,210,66,1
清雨dye墨衣,1,1,女,山东,1043,215,307,1
chanson_空白格 女/其他         ,0,0,不,你，,181,475,36,1
熊妹妹Ai,0,1,女,辽宁,4547,471,269,1
我是Z块小饼干 女/其他         ,0,0,欢,老板,1334,392,212,1
番茄和西红柿美少女和我,0,1,女,黑龙,166,600,74,1
蕃茄红了红 男/重庆         ,0,0,败,什么,549,312,81,1
隔壁甜酱,0,1,女,云南,2448,126,48,1
echo_阿苗,0,1,女,河南,811,840,263,1
小飞侠SC30,1,1,女,北京,4105,368,1263,1
080421230yu,0,1,女,广东,575,40,491,2
烊苏yu,0,1,女,其他,8762,359,427,1
木辛辛 男/其他         ,0,0,巴,阿巴,206,72,1676,1
泠然希音_,0,1,女,海外,5506,262,73,3
邓布利多terrify,0,1,女,海外,3809,424,89,1
顾医生好帅啊,0,1,女,重庆,3381,352,740,3
宋先生是我老公,0,1,女,河北,2143,297,59,1
藏铜小记,0,1,女,海外,10216,400,670,1
需要很多很多的幸运 女/其他         ,0,0,h,t ,6180,448,284,1
人间草木深33 女/山东         ,0,0,就,起头,725,320,212,1
橙子甜味酸奶,0,1,女,重庆,7872,213,107,1
豆豆飞58,0,1,女,其他,5562,1740,1009,1
十五颗盐,1,1,女,四川,3448,268,144,1
心上月i,1,1,女,江苏,4381,485,1349,1
翁仙客,1,1,男,浙江,4553,446,0,1
奶茶味滴珍珠糖鸭,0,1,女,上海,1596,265,92,1
珠珠柿子树,1,1,女,上海,19983,416,819,1
达妹- 男/广东         ,0,0,。,,779,406,146,1
Roy的宝藏女孩儿,1,1,女,河南,12941,1422,2798,1
美院美人,0,1,女,广东,1616,594,1195,1
Calme_茜 女/江苏         ,0,0,会,我环,428,529,215,1
南京海的心思 男/江苏         ,0,0,真,性,399,189,73,1
穿着白T恤的你 女/其他         ,0,0,是,羊座,225,101,21,2
吃么的微博美 女/其他         ,0,0,思,是劳,572,426,164,1
蒋欣的小柠萌,1,1,女,山东,422,84,191,1
Jo的小手帕,1,1,女,台湾,1191,286,1181,1
芋泥雪媚娘-_-,0,1,女,山东,965,368,141,1
疯仔秋秋糖,1,1,女,海外,8572,444,1635,1
·祂是我帝·,1,1,女,海外,3540,366,321,1
Monster简爱,0,1,女,其他,2425,112,25,1
SEIMEIyu,0,1,女,海外,1605,584,503,1
月和紀瀨,0,1,女,河北,1414,225,2583,1
花花火火-yu,0,1,女,河南,393,24,9,1
·快来救救我·,0,1,女,吉林,5392,401,103,1
火僧人,0,1,女,其他,5223,273,1,1
滑蛋虾仁盖浇饭,0,1,女,海外,3658,414,631,1
最美的风景1212 女/河北         ,0,0,真,真的,10417,959,633,1
天台的风在窃听,0,1,女,海外,7492,540,64,1
海棠坚果,0,1,女,浙江,8285,715,530,1
乐思远道,0,1,女,其他,2278,724,557,1
可爱一到筠 男/其他         ,0,0,️,,11467,268,130,1
爱吃锅包肉的烩菜,0,1,女,海外,4048,301,109,1
治愈系顶流,0,1,女,上海,24518,962,1417,1
晰晰亚Ya,0,1,女,其他,3959,299,113,1
xngz圈外女友,0,1,女,其他,4070,631,66,1
mulap,0,1,女,四川,1302,827,219,1
暴脾气的大姐大,0,1,女,广东,1495,433,215,1
钰鹅buss,0,1,女,黑龙,783,506,95,1
Rinimaxixi,0,1,男,其他,166,250,53,1
Meteorxz,1,0,男,广东,133,163,424,2
LucklyLixzq,1,1,女,北京,929,567,192,1
米粒不吃猪肠粉,1,0,女,广东,2371,540,312,2
淇实很好丫,1,1,女,其他,3776,121,1207,1
快乐的磕颜时间 女/浙江         ,0,0,宅,,2790,94,10294,1
生活要多点万茜,0,1,男,山东,1503,514,1480,1
若舞-冷灵,1,1,女,江苏,2964,331,878,1
布吉岛上翟小翟,0,1,女,辽宁,9467,892,598,1
ZhengKKeKer,0,1,女,海外,313,98,480,1
纠结嘚那些--小情绪,1,1,女,海外,6378,1236,1508,1
Zyc丶辰,0,1,女,上海,195,149,686,1
莞颜若雪2012,1,1,女,重庆,23433,1052,489,1
火火暴的后槽牙,0,1,女,北京,10531,73,109,2
华晨宇我好想你,1,1,女,天津,5466,312,71,1
星月阑珊yu,0,1,女,其他,31534,365,218,1
田田不甜_7,0,1,女,湖北,4086,247,123,1
奇奇花茶,0,1,女,湖北,4757,248,207,1
一风系YU,1,1,女,湖北,1661,255,182,1
半夏柠檬布丁,1,1,女,云南,8443,393,1310,1
舞灵wuling,0,1,女,北京,3111,892,644,1
夜星辰微,0,1,女,山东,928,193,46,1
IIvressee,1,1,男,广西,6880,145,102,1
爱战战520zg,0,1,女,江苏,6786,876,517,1
呆桃几岁了,0,1,女,上海,1089,259,415,1
岁月漫长闲人,0,1,女,山东,1770,115,117,1
夜空下的坚果 女/山东         ,0,0,天,是新,3707,346,159,1
野日七七,0,1,男,其他,7115,354,201,1
看那山野的雾 女/四川         ,0,0,我,望成,2693,108,1157,1
相顾无言鹿鹿鹿,0,1,女,辽宁,8198,661,468,1
盛海集团周眼罩妹妹,0,1,女,江苏,2441,202,189,1
淑淹,0,1,男,四川,2910,915,273,1
努力吧,1,1,女,广东,5253,3010,5114,1
椰汁牛肉丸 男/黑龙江         ,0,0,信,己是,1275,327,30,1
避风头的z,1,1,女,其他,12354,293,894,1
雨落yll,1,1,女,江苏,1539,521,268,1
bea_rcyu,0,1,女,其他,3542,902,1259,1
O_o小娜子O_o 女/海南         ,0,0,我,漫长,385,238,413,1
我不是袋袋,1,1,女,湖南,326,347,210,1
我不当男神嘻,0,1,男,其他,16631,796,261,1
·KUNWU·,0,1,女,重庆,570,133,168,1
嗄妮妮yu,0,1,女,台湾,15013,1180,123,1
李美云yun 女/广东         ,0,0,宇,,766,69,208,1
浪花一夏夏,0,1,女,广东,30132,187,196,2
暖洋洋20069,0,1,女,其他,41635,249,294,1
LIANHCY-yu,0,1,女,江西,13131,331,196,1
我是居委会华大爷 女/江西         ,0,0,要,不理,8307,190,69,2
你爹不爱吃香菇,0,1,女,北京,7704,872,1034,1
daisy冰菓,0,1,女,山东,3498,235,1,5
我是璐梵姐,1,1,女,云南,3606,464,514,2
老鼠当差,0,1,女,山东,1170,692,389,1
百毒不侵平安喜乐,0,1,女,福建,6035,515,65,1
柠檬气泡茶2020,0,1,女,四川,7995,346,685,1
诃侑,0,1,女,山东,6640,369,724,1
梨花影_ 女/其他         ,0,0,有,等待,3822,895,629,1
父权阵法瓦解 男/其他         ,0,0,作,无惩,6593,129,206,1
XZ战家可爱的小麦兜XZ,1,1,女,江苏,3733,521,11097,1
文雅不优雅 女/北京         ,0,0,爱,家,1971,416,174,1
小熊发光体,0,1,女,上海,1909,653,464,1
来吃一口泡芙 女/其他         ,0,0,生,么长,120,965,90,1
樱桃牛角包,1,0,女,广东,2924,665,262,1
刘静静静静静静啊-,0,1,女,河北,134,73,37,1
靳十暖,1,1,女,上海,12262,421,466,1
ShowMaker_xiu,0,1,男,其他,536,131,940,1
星星相吸,1,1,男,其他,1447,371,1626,1
___跃,1,1,女,湖南,31696,337,810,1
一竹yu,1,1,女,广东,3095,125,71,1
岚树_烬,1,1,男,其他,4449,290,196,1
hhh_筱筱,0,1,女,河北,580,370,21,1
只争朝夕yu,0,1,女,海外,3711,721,3,1
超市对面,1,1,女,海外,15247,608,2262,1
敬畏生命祈盼美好,1,1,女,北京,5766,925,756,1
农历辛丑牛年 女/北京         ,0,0,有,条道,3394,99,32,1
小萀玡,1,1,男,重庆,31264,261,3283,1
啊呀呀是那只树袋熊,0,1,女,湖北,4599,710,320,1
大白兔奶赞啊,1,1,女,重庆,3164,221,1209,1
張冰怡,0,1,女,河南,1546,98,15,1
偶就是偶不一样滴烟火,0,1,女,吉林,2424,467,638,1
梦克力,0,1,女,黑龙,750,172,75,1
达令爱丽丝,0,1,女,黑龙,8149,565,598,1
嘤嘤嘤嘤嘤呜呜 男/浙江         ,0,0,o, 朱,1436,71,31,1
翰翰心属熊憨憨,1,1,女,浙江,4323,224,256,1
娱乐乖乖仔,1,1,女,山东,4987,401,10926,1
乖你的乖乖乖,0,1,女,四川,3401,727,489,1
不可触碰和逆转的伤,0,1,男,四川,2455,467,195,1
赵雪音,0,1,女,天津,2564,1315,11116,1
像这抓不住的风v,1,1,女,四川,2636,344,1394,1
一只鹦 女/江苏         ,0,0,由,在,2765,227,1350,1
养啵日记,1,1,女,河南,15435,347,676,1
半醒沙汀,1,1,女,广西,1363,252,614,1
情长纸短啊还吻你万千,0,1,女,其他,949,258,254,2
萬克k,0,1,女,新疆,27,107,344,1
山河·Mountain,0,1,男,其他,125,68,1278,2
小辣椒-海南ET,0,1,女,湖北,15906,3287,481,1
我要请你吃好多猪血糕yu,1,1,女,其他,8201,132,205,1
绯梦yu,0,1,女,其他,4593,82,63,1
___等风也等你,0,1,女,北京,2323,544,154,1
业余泥塑,0,1,男,重庆,22418,168,3510,1
吞吞皮,1,1,女,浙江,18316,850,517,1
安娜52570 女/重庆         ,0,0,心,做主,3544,522,81,2
朝思肖羡夕,0,1,男,重庆,3257,302,237,1
顾一野大爷,1,1,女,重庆,4130,192,870,1
簞蒓de靌呗,1,1,女,上海,8591,980,2139,2
flower开至荼蘼,0,1,女,其他,664,1,2467,1
凌雨江上,0,1,女,其他,229,249,110,1
朱贝来追我呀,1,1,女,其他,4513,1205,293,1
我是一颗小糖呀,0,1,女,河南,5110,155,30,1
财神敲门发大财,1,1,女,上海,35354,1472,119489,2
橙月Kw,1,1,女,海外,55786,1112,231,1
要冲出宇宙 女/广东         ,0,0,间,值得,1459,334,1091,1
熊美淇Ai,0,1,女,其他,4967,499,280,1
侯歌儿,1,1,女,辽宁,106673,4736,101457,1
Caragana顾梓稔,1,1,女,浙江,640,444,148,1
多希望生活能善待我,0,1,女,四川,1585,230,10962,1
Dylan的新之助,1,1,女,广东,2747,289,1973,1
柠檬羊七,0,1,女,福建,2031,241,10452,1
SHIMY胡萝卜,1,1,女,海外,1671,120,2417,1
木槿暖夏_佳灵,1,1,女,江西,181622,1802,1216,1
純純的ka-chan,0,1,女,海外,2224,159,242,1
玻地哇咔,0,1,女,其他,1300,405,173,1
介孩纸要打鸡血,1,1,女,广东,729,312,384,1
a小奶花yu,1,1,男,广西,14886,498,10409,2
花27yu,1,1,女,安徽,9872,144,130,1
小yu宙中的微光,0,1,女,浙江,29102,130,1076,1
-如有神明-,0,1,女,湖北,1715,217,76,1
筱霖雨霏 女/山东         ,0,0,自,,2625,287,90,1
用户正在加载中_花心大萝卜 男/其他         ,0,0,户,在输,1962,117,101,1
冷落微,0,1,女,上海,6171,794,1067,1
宸风08,0,1,女,其他,8645,628,399,1
一个小废物每天被数学欺负哭,0,1,女,湖南,3280,325,218,1
呆兔的小面包,0,1,男,其他,2788,519,512,1
yoyo夏天555,0,1,女,天津,3611,112,1057,1
未命名超能力 女/安徽         ,0,0,心,一天,2796,770,641,1
SaeMaiNior,0,1,男,其他,40058,1573,1547,1
我真没熬夜了,1,1,女,四川,11457,309,107438,1
兔味崽,0,1,女,其他,180,419,1061,5
百姓评车,1,1,男,北京,31894,355,3223877,3
小昶_1437,1,1,男,上海,22527,512,3809,2
清华_AGG,0,1,女,河南,4366,174,645,1
爱豆新闻,1,1,男,北京,27835,495,5624478,1
斯莱特林绿银蛇,0,1,女,湖南,9429,85,371,1
默默南云,0,1,女,其他,1945,172,168,1
_安咕_,0,1,女,其他,2087,435,135,1
Poison_920,1,1,女,海外,436,298,1349,1
大妮yu,0,1,女,其他,1040,131,89,1
仓鼠yu-,1,1,女,北京,4457,108,414,1
飒飒_0207,0,1,女,海外,3160,505,1127,1
欢妹纸yu 女/其他         ,0,0,T,,333,107,70,1
华晨宇睡醒走天涯8,1,1,女,上海,4693,301,596,1
磕宇少女辞辞酱yu-,1,1,女,江苏,3533,135,167,1
华MC原来是菇菇,1,1,女,浙江,4697,385,629,2
柯柯先翻个白眼yu 女/广东         ,0,0,很,爱，,7232,465,190,1
z小吃货上线 女/其他         ,0,0,趣,灵魂,774,514,358,1
得多放辣,0,1,女,其他,3590,153,1556,2
周粥爱喝西米露,0,1,女,江苏,6323,330,620,1
yanguancho,0,1,女,北京,9853,1595,432,2
蔡蔡萝卜丁,0,1,女,海外,2308,166,56,1
吹毛求疵就是我,1,1,女,重庆,13054,323,642,2
爱笑爱唱椒盐虾,1,1,女,江苏,5173,658,498,1
万事胜意屋_,0,1,女,其他,384,169,121,1
言西早-ML,0,1,女,重庆,468,200,97,3
小雨点aa,1,1,女,河北,13674,652,1128,1
幸运逐心,0,1,女,北京,28375,794,178,1
熊梓淇,1,1,男,上海,1324,382,25155057,1
就是爱漂亮的小姐姐,1,0,男,广东,769,6,217569,1
唯爱彤酱,0,1,女,浙江,3724,1771,306,1
拉拉卡贝尔,1,1,女,湖北,35659,2576,58,2
卦哥娱乐,1,1,男,陕西,5617,477,2882996,1
灵婳,0,1,女,广东,4671,6245,5914,1
孟溪桥,0,1,女,广西,3179,3031,12587,1
华嫂爱德華,0,1,女,辽宁,2397,435,410,1
疯人院里的小爱yu,0,1,女,湖北,1281,237,174,1
疯批美人火,0,1,女,浙江,5872,356,180,1
橘阿烛 女/其他         ,0,0,开,到永,768,341,41,1
商羊嘤嘤嘤,0,1,女,江西,1852,212,25,3
君云落宇yu,1,1,女,北京,22427,898,567,1
晓影2000yu,1,1,女,北京,9697,2515,2135,1
我管你理不理解yu,0,1,女,海外,13294,285,222,1
我是老师2 女/江苏         ,0,0,是,逗比,910,172,116,1
撩人一罗云 男/浙江         ,0,0,则,"变,",2781,597,778,1
呆桃家的小兔子f,1,1,女,北京,3860,559,442,1
肖家小兔冲冲冲,0,1,女,浙江,1290,414,441,2
星河予肖战,0,1,女,湖北,6268,539,786,1
tansy-zl,1,1,女,重庆,5958,182,669,2
不爱吃茄子的-DAYTOY,0,1,女,北京,3768,162,279,1
sean的princess欢,1,1,女,浙江,13888,841,237,1
写论文的驴,0,1,女,浙江,3308,403,13,1
鈴木葉満園,0,1,男,海外,8680,462,208,1
音波酱拌饭樱木川田萌白酱视频冉,0,1,女,其他,271,108,3,1
抓到一只诗酱,1,1,女,其他,9842,263,15642,1
眼泪擦干你仍是大魔王,0,1,女,安徽,2740,400,259,1
苜蓿草49,0,1,女,天津,27,54,30,1
你胖彤,0,1,女,海外,337,1247,84,1
尼玛哈犄角 女/山东         ,0,0,那,多事,706,110,525,1
人山人海藤井树,0,1,女,福建,184,517,214,1
被迫营业的小富婆,1,1,女,湖北,16,275,243,1
祉娘,1,1,女,天津,4875,682,1549,1
庚辛本人,0,1,女,山东,4066,163,240,1
月亮偷来的光源,1,1,女,浙江,2318,499,375,1
Violet-violin翊瑾,1,0,女,上海,647,503,260,1
Leadgh,1,1,女,广东,8005,249,253,1
小花卷yu,1,1,女,其他,18034,213,694,1
聪HCYyu,1,1,女,浙江,24715,559,1516,1
